<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
FEES;D;020822;000000;0.0930000;0.0935800;0.0917600;0.0917800;600150000
FEES;D;030822;000000;0.0925400;0.1055000;0.0909000;0.0968800;11284140000
FEES;D;040822;000000;0.0970000;0.0976000;0.0925200;0.0930200;3253490000
FEES;D;050822;000000;0.0931000;0.0936400;0.0904600;0.0904600;1194870000
FEES;D;080822;000000;0.0915000;0.0932800;0.0904000;0.0905200;905160000
FEES;D;090822;000000;0.0905600;0.0908400;0.0891200;0.0902200;720440000
FEES;D;100822;000000;0.0903800;0.0914400;0.0900000;0.0902600;591240000
FEES;D;110822;000000;0.0904800;0.0910000;0.0900000;0.0902000;423720000
FEES;D;120822;000000;0.0901000;0.0914600;0.0892000;0.0901800;579930000
FEES;D;150822;000000;0.0905000;0.0905000;0.0895400;0.0904000;481590000
FEES;D;160822;000000;0.0903600;0.0906800;0.0900000;0.0904200;506150000
FEES;D;170822;000000;0.0904200;0.0907400;0.0898200;0.0901000;420780000
FEES;D;180822;000000;0.0901200;0.0902000;0.0895000;0.0899800;290950000
FEES;D;190822;000000;0.0899400;0.0900400;0.0888000;0.0893600;374330000
FEES;D;220822;000000;0.0891200;0.0896600;0.0888200;0.0891800;435390000
FEES;D;230822;000000;0.0891400;0.0901800;0.0891000;0.0892200;445240000
FEES;D;240822;000000;0.0895600;0.0904400;0.0891200;0.0892000;389270000
FEES;D;250822;000000;0.0899800;0.0899800;0.0889200;0.0892000;266220000
FEES;D;260822;000000;0.0895000;0.0896800;0.0890400;0.0892000;269390000
FEES;D;290822;000000;0.0894400;0.0896800;0.0889200;0.0891400;392900000
FEES;D;300822;000000;0.0894800;0.0903800;0.0892400;0.0899000;719370000
FEES;D;310822;000000;0.0906000;0.0979800;0.0905000;0.0977400;4095420000
FEES;D;010922;000000;0.0976800;0.0976800;0.0944400;0.0962000;1824680000
FEES;D;020922;000000;0.0960600;0.0973800;0.0950600;0.0958400;803400000
FEES;D;050922;000000;0.0964200;0.1020000;0.0962000;0.1019800;4192940000
FEES;D;060922;000000;0.1019800;0.1020000;0.0960200;0.0981200;2633790000
FEES;D;070922;000000;0.0983200;0.0995000;0.0970400;0.0976000;914320000
FEES;D;080922;000000;0.0977400;0.0979200;0.0965000;0.0974200;433300000
FEES;D;090922;000000;0.0975400;0.0990000;0.0975200;0.0988000;681180000
FEES;D;120922;000000;0.0988400;0.0994600;0.0972800;0.0985400;876640000
FEES;D;130922;000000;0.0985600;0.0989400;0.0966000;0.0972200;435340000
FEES;D;140922;000000;0.0975200;0.0975400;0.0952600;0.0963600;805050000
FEES;D;150922;000000;0.0966200;0.0988800;0.0964000;0.0981200;1399450000
FEES;D;160922;000000;0.0983000;0.0985000;0.0956000;0.0962400;761040000
FEES;D;190922;000000;0.0963000;0.0965000;0.0942000;0.0947800;885270000
FEES;D;200922;000000;0.0947400;0.0948600;0.0855200;0.0897600;4547650000
FEES;D;210922;000000;0.0856800;0.0889600;0.0810000;0.0852400;1739400000
FEES;D;220922;000000;0.0852400;0.0888600;0.0852400;0.0884800;649810000
FEES;D;230922;000000;0.0888400;0.0888400;0.0835000;0.0839400;1126220000
FEES;D;260922;000000;0.0830000;0.0831000;0.0742800;0.0748600;2015170000
FEES;D;270922;000000;0.0756800;0.0786400;0.0752400;0.0785400;872650000
FEES;D;280922;000000;0.0785600;0.0793400;0.0772200;0.0783800;777250000
FEES;D;290922;000000;0.0783200;0.0789600;0.0752000;0.0778400;744500000
FEES;D;300922;000000;0.0786400;0.0791400;0.0744000;0.0780400;1133620000
